X1,X2,Y,X3
1,5,90000,826
2,3,65000,840
1,15,150000,124
2,7,60000,840
1,20,200000,840
1,2,55000,840
2,12,120000,840
1,4,80000,156
2,1,45000,156
1,10,110000,36
1,3,75000,826
2,18,140000,826
1,6,65000,156
2,14,130000,840
1,2,40000,124
1,16,125000,156
2,7,90000,840
1,12,115000,826
2,0,35000,826
1,22,180000,36
2,5,80000,156
1,19,190000,826
1,2,50000,826
2,9,60000,156
1,13,140000,840
2,3,45000,124
2,11,110000,36
1,1,40000,36
2,15,140000,124
1,6,90000,156
1,25,250000,124
2,4,55000,826
1,3,75000,840
2,10,65000,124
1,20,170000,840
1,2,45000,36
2,7,60000,826
1,14,115000,156
2,1,40000,124
1,21,160000,156
2,5,80000,826
1,18,190000,124
1,3,60000,156
2,8,45000,826
1,13,130000,826
2,2,40000,840
1,5,75000,36
2,16,180000,826
1,11,120000,36
1,0,35000,840
2,22,130000,156
1,7,85000,36
2,12,60000,156
1,19,200000,36
2,3,50000,124
1,9,95000,156
2,2,65000,124
1,17,140000,840
2,4,55000,124
1,7,105000,124
2,23,170000,840
1,3,50000,156
2,12,80000,156
1,21,180000,156
1,1,35000,36
2,10,90000,156
1,19,120000,36
2,5,45000,124
1,8,90000,124
2,18,150000,124
1,6,65000,840
2,11,70000,840
1,16,190000,826
1,2,40000,156
2,14,120000,124
1,10,95000,840
2,22,160000,840
1,6,100000,840
2,20,180000,124
2,3,55000,36
1,8,70000,826
2,13,80000,840
1,0,30000,36
1,24,250000,124
2,2,40000,36
2,10,95000,826
            ,2,45000,124
2,15,80000,840
1,21,135000,124
2,6,55000,36
1,11,120000,826
2,3,40000,156
1,18,105000,826
2,25,170000,156
1,7,75000,36
2,12,65000,840
1,22,160000,36
1,1,35000,156
2,10,90000,826
1,20,110000,156
2,5,45000,36
1,8,95000,156
2,19,150000,36
1,5,50000,124
2,13,80000,826
1,16,220000,840
2,3,50000,826
1,7,60000,840
2,14,100000,840
1,2,40000,840
2,15,110000,840
1,9,95000,826
2,22,130000,826
1,6,90000,840
2,0.5,35000,840
1,6,95000,36
2,15,65000,840
1,20,170000,840
2,3,45000,36
1,10,120000,124
2,17,100000,156
1,25,180000,826
2,5,50000,36
1,11,80000,156
2,16,140000,826
1,2,40000,826
2,9,95000,840
1,18,110000,826
2,4,50000,840
1,8,105000,124
2,21,160000,826
1,3,45000,156
2,12,100000,124
1,22,160000,840
1,1,35000,826
2,10,55000,124
1,19,140000,124
2,4,50000,124
1,7,60000,36
2,14,120000,36
1,2,40000,840
2,13,110000,36
1,5,50000,840
1,20,135000,156
2,1.5,40000,36
1,8,90000,36
2,16,150000,156
1,4,60000,826
2,10,80000,840
1,19,175000,124
2,3,45000,36
1,11,120000,124
2,18,140000,36
1,2,35000,840
2,9,95000,124
1,14,110000,840
2,5,50000,840
1,7,115000,156
2,23,185000,156
1,2,40000,36
2,12,90000,840
1,21,175000,840
2,3,45000,826
1,7,80000,156
2,13,120000,156
1,1.5,35000,156
2,14,110000,36
1,18,150000,124
2,4,50000,156
1,9,105000,156
2,20,180000,36
1,2,40000,124
1,16,140000,826
2,1.5,45000,124
1,7,85000,156
2,18,140000,826
1,4,50000,826
2,10,80000,826
1,20,170000,840
2,2,40000,826
1,9,105000,156
2,15,145000,840
1,2,40000,840
2,8,85000,840
1,14,130000,156
2,6,95000,124
1,9,100000,826
2,22,180000,156
1,1.5,35000,826
2,12,95000,840
1,19,170000,36
2,3,45000,36
1,7,95000,156
2,13,120000,826
1,2,40000,840
2,11,90000,124
1,17,155000,826
2,5,55000,36
1,9,110000,124
2,21,180000,826
1,3,45000,826
1,16,130000,840
2,1.5,45000,840
1,7,90000,124
2,17,160000,826
1,4,50000,156
2,10,120000,36
1,20,170000,36
2,2,40000,156
1,9,110000,156
2,15,150000,156
1,2,40000,840
2,8,85000,840
1,14,130000,156
2,6,100000,826
1,9,95000,124
2,22,180000,36
1,1.5,35000,826
2,12,100000,156
1,19,170000,840
2,3,45000,826
1,7,100000,840
2,13,140000,156
1,2,40000,36
2,11,105000,826
1,18,160000,124
2,5,70000,36
1,9,120000,36
2,21,190000,840
1,3,45000,124
1,15,120000,124
2,1.5,50000,156
1,8,85000,124
2,13,140000,124
1,3,45000,36
2,9,100000,826
1,16,140000,36
2,5,70000,124
1,10,120000,124
2,18,160000,124
1,1.5,40000,36
2,10,120000,156
1,19,150000,826
2,6,70000,840
1,8,95000,840
2,21,180000,124
1,3,50000,124
2,11,95000,840
1,20,170000,124
2,2,40000,840
1,9,110000,36
2,15,150000,156
1,2,40000,840
2,8,85000,124
1,14,130000,36
2,6,100000,36
1,9,95000,826
2,22,180000,36
1,1.5,350,840
2,10,120000,840
1,18,160000,156
2,3,50000,36
1,12,110000,124
2,1.5,40000,840
1,8,95000,826
